discipline_title,event_title,game_slug,participant_type,medal_type,rank_position,country_3_letter_code,medal_type_encoded
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,23,YUG,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,24,AUT,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,25,FRA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,26,FRA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,27,POL,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,28,AUT,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,29,TCH,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,30,POL,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,31,FRA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,32,YUG,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,33,POL,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,34,HUN,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,35,AUT,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,36,POL,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,37,ISL,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,38,ITA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,39,CAN,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,40,SWE,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,41,YUG,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,42,USA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,43,YUG,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,44,CAN,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,45,ITA,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,46,CAN,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,DNF,FIN,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,DNF,SWE,0.0
Ski Jumping,Normal Hill Individual men,st-moritz-1948,Athlete,0,DNF,HUN,0.0
Cross Country Skiing,50km men,st-moritz-1948,Athlete,GOLD,1,SWE,2.0
