discipline_title,game_slug,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,Ailing Eileen GU,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,Tess LEDEUX,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,Jaelin KAUF,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Jakara ANTHONY,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,Anastasiia SMIRNOVA,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Marielle THOMPSON,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sandra NAESLUND,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Daniela MAIER,GER
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,Ilia BUROV,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,Guangpu QI,CHN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,Oleksandr ABRAMENKO,UKR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,Hanna HUSKOVA,BLR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,Mengtao XU,CHN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,Megan NICK,USA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Cassie SHARPE,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,Ailing Eileen GU,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,Rachel KARKER,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,Ailing Eileen GU,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,Mathilde GREMAUD,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,Kelly SILDARU,EST
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,Nicholas GOEPPER,USA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,Jesper TJADER,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,Alexander HALL,USA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,Suzanne SCHULTING,NED
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,Kim BOUTIN,CAN
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,Arianna FONTANA,ITA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,Steven DUBOIS,CAN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,Shaoang LIU,HUN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,Konstantin IVLIEV,ROC
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,,CAN
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,,KOR
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,,CHN
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,,HUN
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,Semen ELISTRATOV,ROC
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,Daeheon HWANG,KOR
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,Steven DUBOIS,CAN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,Ziwei REN,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,Wenlong LI,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,Shaoang LIU,HUN
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,,NED
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,,KOR
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,,CHN
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,Suzanne SCHULTING,NED
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,Minjeong CHOI,KOR
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,Hanne DESMET,BEL
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,Minjeong CHOI,KOR
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,Suzanne SCHULTING,NED
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,Arianna FONTANA,ITA
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,Queralt CASTELLET,ESP
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,Sena TOMITA,JPN
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,Chloe KIM,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Nick BAUMGARTNER,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Lindsey JACOBELLIS,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Omar VISINTIN,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Michela MOIOLI,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Eliot GRONDIN,CAN
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Meryeta ODINE,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,BRONZE,Athlete,Meryeta ODINE,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,SILVER,Athlete,Chloe TRESPEUCH,FRA
Snowboard,beijing-2022,Women's Snowboard Cross,Women,GOLD,Athlete,Lindsey JACOBELLIS,USA
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,Tim MASTNAK,SLO
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,Benjamin KARL,AUT
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,Vic WILD,ROC
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,Kokomo MURASE,JPN
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,SILVER,Athlete,Zoi SADOWSKI SYNNOTT,NZL
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,GOLD,Athlete,Anna GASSER,AUT
Snowboard,beijing-2022,Men's Snowboard Cross,Men,BRONZE,Athlete,Omar VISINTIN,ITA
Snowboard,beijing-2022,Men's Snowboard Cross,Men,SILVER,Athlete,Eliot GRONDIN,CAN
Snowboard,beijing-2022,Men's Snowboard Cross,Men,GOLD,Athlete,Alessandro HAEMMERLE,AUT
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,Max PARROT,CAN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,Yiming SU,CHN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,Mark MCMORRIS,CAN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,Jan SCHERRER,SUI
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,Ayumu HIRANO,JPN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,Scotty JAMES,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,Tess COADY,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,Julia MARINO,USA
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,Zoi SADOWSKI SYNNOTT,NZL
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,Daniela ULBING,AUT
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,Ester LEDECKA,CZE
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,Gloria KOTNIK,SLO
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,SILVER,Athlete,Mons ROISLAND,NOR
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,GOLD,Athlete,Yiming SU,CHN
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,Max PARROT,CAN
Ski Jumping,beijing-2022,Men's Team,Men,GOLD,GameTeam,,AUT
Ski Jumping,beijing-2022,Men's Team,Men,SILVER,GameTeam,,SLO
Ski Jumping,beijing-2022,Men's Team,Men,BRONZE,GameTeam,,GER
Ski Jumping,beijing-2022,Men's LH Individual,Men,GOLD,Athlete,Marius LINDVIK,NOR
Ski Jumping,beijing-2022,Men's LH Individual,Men,SILVER,Athlete,Ryoyu KOBAYASHI,JPN
Ski Jumping,beijing-2022,Men's LH Individual,Men,BRONZE,Athlete,Karl GEIGER,GER
Ski Jumping,beijing-2022,Mixed Team,Mixed,GOLD,GameTeam,,SLO
Ski Jumping,beijing-2022,Mixed Team,Mixed,SILVER,GameTeam,,ROC
Ski Jumping,beijing-2022,Mixed Team,Mixed,BRONZE,GameTeam,,CAN
Ski Jumping,beijing-2022,Women's NH Individual,Women,SILVER,Athlete,Katharina ALTHAUS,GER
Ski Jumping,beijing-2022,Women's NH Individual,Women,GOLD,Athlete,Ursa BOGATAJ,SLO
Ski Jumping,beijing-2022,Women's NH Individual,Women,BRONZE,Athlete,Nika KRIZNAR,SLO
Ski Jumping,beijing-2022,Men's NH Individual,Men,BRONZE,Athlete,Dawid KUBACKI,POL
Ski Jumping,beijing-2022,Men's NH Individual,Men,SILVER,Athlete,Manuel FETTNER,AUT
Ski Jumping,beijing-2022,Men's NH Individual,Men,GOLD,Athlete,Ryoyu KOBAYASHI,JPN
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,Mark KONDRATIUK,ROC
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,Kamila VALIEVA,ROC
Figure skating,beijing-2022,Team Event,Mixed,SILVER,GameTeam,,USA
Figure skating,beijing-2022,Team Event,Mixed,BRONZE,GameTeam,,JPN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,Wenjing SUI,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,Cong HAN,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,Evgenia TARASOVA,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,Vladimir MOROZOV,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,Anastasia MISHINA,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,Aleksandr GALLIAMOV,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,Gabriella PAPADAKIS,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,Guillaume CIZERON,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,Victoria SINITSINA,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,Nikita KATSALAPOV,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,Madison HUBBELL,USA
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,Zachary DONOHUE,USA
Figure skating,beijing-2022,Women Single Skating,Women,GOLD,Athlete,Anna SHCHERBAKOVA,ROC
Figure skating,beijing-2022,Women Single Skating,Women,SILVER,Athlete,Alexandra Trusova,ROC
Figure skating,beijing-2022,Women Single Skating,Women,BRONZE,Athlete,Kaori SAKAMOTO,JPN
Figure skating,beijing-2022,Men Single Skating,Men,BRONZE,Athlete,Shoma UNO,JPN
Figure skating,beijing-2022,Men Single Skating,Men,GOLD,Athlete,Nathan CHEN,USA
Figure skating,beijing-2022,Men Single Skating,Men,SILVER,Athlete,Yuma KAGIYAMA,JPN
Luge,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,,GER
Luge,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,,AUT
Luge,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,,LAT
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,Tobias WENDL,GER
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,Tobias ARLT,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,Toni EGGERT,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,Sascha BENECKEN,GER
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,Thomas STEU,AUT
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,Lorenz KOLLER,AUT
Luge,beijing-2022,Men's Singles,Men,SILVER,Athlete,Wolfgang KINDL,AUT
Luge,beijing-2022,Men's Singles,Men,GOLD,Athlete,Johannes LUDWIG,GER
Luge,beijing-2022,Men's Singles,Men,BRONZE,Athlete,Dominik FISCHNALLER,ITA
Luge,beijing-2022,Women's Singles,Women,SILVER,Athlete,Anna BERREITER,GER
Luge,beijing-2022,Women's Singles,Women,BRONZE,Athlete,Tatyana IVANOVA,ROC
Luge,beijing-2022,Women's Singles,Women,GOLD,Athlete,Natalie GEISENBERGER,GER
Ice Hockey,beijing-2022,Men,Men,GOLD,GameTeam,,FIN
Ice Hockey,beijing-2022,Men,Men,SILVER,GameTeam,,ROC
Ice Hockey,beijing-2022,Men,Men,BRONZE,GameTeam,,SVK
Ice Hockey,beijing-2022,Women,Women,GOLD,GameTeam,,CAN
Ice Hockey,beijing-2022,Women,Women,SILVER,GameTeam,,USA
Ice Hockey,beijing-2022,Women,Women,BRONZE,GameTeam,,FIN
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,GOLD,Athlete,Quentin FILLON MAILLET,FRA
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,SILVER,Athlete,Tarjei BOE,NOR
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,BRONZE,Athlete,Eduard LATYPOV,ROC
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,GOLD,GameTeam,,NOR
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,SILVER,GameTeam,,FRA
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,BRONZE,GameTeam,,ROC
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,SILVER,Athlete,Tiril ECKHOFF,NOR
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,GOLD,Athlete,Justine BRAISAZ,FRA
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,BRONZE,Athlete,Marte Olsbu ROEISELAND,NOR
Biathlon,beijing-2022,Women's 10km Pursuit,Women,SILVER,Athlete,Elvira OEBERG,SWE
Biathlon,beijing-2022,Women's 10km Pursuit,Women,BRONZE,Athlete,Tiril ECKHOFF,NOR
Biathlon,beijing-2022,Women's 10km Pursuit,Women,GOLD,Athlete,Marte Olsbu ROEISELAND,NOR
Biathlon,beijing-2022,Men's 10km Sprint,Men,SILVER,Athlete,Quentin FILLON MAILLET,FRA
Biathlon,beijing-2022,Men's 10km Sprint,Men,GOLD,Athlete,Johannes Thingnes BOE,NOR
Biathlon,beijing-2022,Men's 10km Sprint,Men,BRONZE,Athlete,Tarjei BOE,NOR
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,SILVER,Athlete,Elvira OEBERG,SWE
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,GOLD,Athlete,Marte Olsbu ROEISELAND,NOR
Biathlon,beijing-2022,Women's 7.5km Sprint,Women,BRONZE,Athlete,Dorothea WIERER,ITA
Biathlon,beijing-2022,Women's 4x6km Relay,Women,GOLD,GameTeam,,SWE
Biathlon,beijing-2022,Women's 4x6km Relay,Women,SILVER,GameTeam,,ROC
Biathlon,beijing-2022,Women's 4x6km Relay,Women,BRONZE,GameTeam,,GER
Biathlon,beijing-2022,Men's 15km Mass Start,Men,SILVER,Athlete,Martin PONSILUOMA,SWE
Biathlon,beijing-2022,Men's 15km Mass Start,Men,BRONZE,Athlete,Vetle Sjaastad CHRISTIANSEN,NOR
Biathlon,beijing-2022,Men's 15km Mass Start,Men,GOLD,Athlete,Johannes Thingnes BOE,NOR
Biathlon,beijing-2022,Men's 20km Individual,Men,BRONZE,Athlete,Johannes Thingnes BOE,NOR
Biathlon,beijing-2022,Men's 20km Individual,Men,SILVER,Athlete,Anton SMOLSKI,BLR
Biathlon,beijing-2022,Men's 20km Individual,Men,GOLD,Athlete,Quentin FILLON MAILLET,FRA
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,GOLD,GameTeam,,NOR
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,SILVER,GameTeam,,FRA
Biathlon,beijing-2022,Men's 4x7.5km Relay,Men,BRONZE,GameTeam,,ROC
Biathlon,beijing-2022,Women's 15km Individual,Women,GOLD,Athlete,Denise HERRMANN,GER
Biathlon,beijing-2022,Women's 15km Individual,Women,SILVER,Athlete,Anais CHEVALIER,FRA
Biathlon,beijing-2022,Women's 15km Individual,Women,BRONZE,Athlete,Marte Olsbu ROEISELAND,NOR
Alpine Skiing,beijing-2022,Men's Slalom,Men,GOLD,Athlete,Clement NOEL,FRA
Alpine Skiing,beijing-2022,Men's Slalom,Men,SILVER,Athlete,Johannes STROLZ,AUT
Alpine Skiing,beijing-2022,Men's Slalom,Men,BRONZE,Athlete,Sebastian FOSS-SOLEVAAG,NOR
Alpine Skiing,beijing-2022,Men's Downhill,Men,GOLD,Athlete,Beat FEUZ,SUI
Alpine Skiing,beijing-2022,Men's Downhill,Men,SILVER,Athlete,Johan CLAREY,FRA
Alpine Skiing,beijing-2022,Men's Downhill,Men,BRONZE,Athlete,Matthias MAYER,AUT
Alpine Skiing,beijing-2022,Women's Super-G,Women,SILVER,Athlete,Mirjam PUCHNER,AUT
Alpine Skiing,beijing-2022,Women's Super-G,Women,BRONZE,Athlete,Michelle GISIN,SUI
Alpine Skiing,beijing-2022,Women's Super-G,Women,GOLD,Athlete,Lara GUT - BEHRAMI,SUI
Alpine Skiing,beijing-2022,Men's Super-G,Men,GOLD,Athlete,Matthias MAYER,AUT
Alpine Skiing,beijing-2022,Men's Super-G,Men,BRONZE,Athlete,Aleksander Aamodt KILDE,NOR
Alpine Skiing,beijing-2022,Men's Super-G,Men,SILVER,Athlete,Ryan COCHRAN-SIEGLE,USA
Alpine Skiing,beijing-2022,Women's Downhill,Women,GOLD,Athlete,Corinne SUTER,SUI
Alpine Skiing,beijing-2022,Women's Downhill,Women,SILVER,Athlete,Sofia GOGGIA,ITA
Alpine Skiing,beijing-2022,Women's Downhill,Women,BRONZE,Athlete,Nadia DELAGO,ITA
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,GOLD,GameTeam,,AUT
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,SILVER,GameTeam,,GER
Alpine Skiing,beijing-2022,Mixed Team Parallel,Mixed,BRONZE,GameTeam,,NOR
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,BRONZE,Athlete,James CRAWFORD,CAN
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,GOLD,Athlete,Johannes STROLZ,AUT
Alpine Skiing,beijing-2022,Men's Alpine Combined,Men,SILVER,Athlete,Aleksander Aamodt KILDE,NOR
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,BRONZE,Athlete,Mathieu FAIVRE,FRA
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,SILVER,Athlete,Zan KRANJEC,SLO
Alpine Skiing,beijing-2022,Men's Giant Slalom,Men,GOLD,Athlete,Marco ODERMATT,SUI
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,SILVER,Athlete,Federica BRIGNONE,ITA
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,BRONZE,Athlete,Lara GUT - BEHRAMI,SUI
Alpine Skiing,beijing-2022,Women's Giant Slalom,Women,GOLD,Athlete,Sara HECTOR,SWE
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,BRONZE,Athlete,Federica BRIGNONE,ITA
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,SILVER,Athlete,Wendy HOLDENER,SUI
Alpine Skiing,beijing-2022,Women's Alpine Combined,Women,GOLD,Athlete,Michelle GISIN,SUI
Alpine Skiing,beijing-2022,Women's Slalom,Women,GOLD,Athlete,Petra VLHOVA,SVK
Alpine Skiing,beijing-2022,Women's Slalom,Women,BRONZE,Athlete,Wendy HOLDENER,SUI
Alpine Skiing,beijing-2022,Women's Slalom,Women,SILVER,Athlete,Katharina LIENSBERGER,AUT
Skeleton,beijing-2022,Women,Women,SILVER,Athlete,Jackie NARRACOTT,AUS
Skeleton,beijing-2022,Women,Women,GOLD,Athlete,Hannah NEISE,GER
Skeleton,beijing-2022,Women,Women,BRONZE,Athlete,Kimberley BOS,NED
Skeleton,beijing-2022,Men,Men,SILVER,Athlete,Axel JUNGK,GER
Skeleton,beijing-2022,Men,Men,BRONZE,Athlete,Wengang YAN,CHN
Skeleton,beijing-2022,Men,Men,GOLD,Athlete,Christopher GROTHEER,GER
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,SILVER,Athlete,Maja DAHLQVIST,SWE
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,BRONZE,Athlete,Jessica DIGGINS,USA
Cross Country Skiing,beijing-2022,Women's Sprint Free,Women,GOLD,Athlete,Jonna SUNDLING,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Katharina HENNIG,GER
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Victoria CARL,GER
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,SILVER,GameTeam,Maja DAHLQVIST,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,SILVER,GameTeam,Jonna SUNDLING,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,BRONZE,GameTeam,Yulia STUPAK,ROC
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,BRONZE,GameTeam,Natalia NEPRYAEVA,ROC
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,GOLD,GameTeam,Erik VALNES,NOR
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,GOLD,GameTeam,Johannes Hoesflot KLAEBO,NOR
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,SILVER,GameTeam,Iivo NISKANEN,FIN
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,SILVER,GameTeam,Joni MAEKI,FIN
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,BRONZE,GameTeam,Alexander BOLSHUNOV,ROC
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,BRONZE,GameTeam,Alexander TERENTEV,ROC
Cross Country Skiing,beijing-2022,Men's 15km + 15km Skiathlon,Men,GOLD,Athlete,Alexander BOLSHUNOV,ROC
Cross Country Skiing,beijing-2022,Men's 15km + 15km Skiathlon,Men,SILVER,Athlete,Denis SPITSOV,ROC
Cross Country Skiing,beijing-2022,Men's 15km + 15km Skiathlon,Men,BRONZE,Athlete,Iivo NISKANEN,FIN
Cross Country Skiing,beijing-2022,Men's 4 x 10km Relay,Men,GOLD,GameTeam,,ROC
Cross Country Skiing,beijing-2022,Men's 4 x 10km Relay,Men,SILVER,GameTeam,,NOR
Cross Country Skiing,beijing-2022,Men's 4 x 10km Relay,Men,BRONZE,GameTeam,,FRA
Cross Country Skiing,beijing-2022,Women's 7.5km + 7.5km Skiathlon,Women,BRONZE,Athlete,Teresa STADLOBER,AUT
Cross Country Skiing,beijing-2022,Women's 7.5km + 7.5km Skiathlon,Women,SILVER,Athlete,Natalia NEPRYAEVA,ROC
Cross Country Skiing,beijing-2022,Women's 7.5km + 7.5km Skiathlon,Women,GOLD,Athlete,Therese JOHAUG,NOR
Cross Country Skiing,beijing-2022,Women's 30km Mass Start Free,Women,SILVER,Athlete,Jessica DIGGINS,USA
